,symbol
986,HTR1D
987,HTR1E
988,HTR1F
989,HTR2B
990,HTR7
991,ADRA2A
992,CHRNA4
993,CHRNB2
994,CHRNA4
995,PTGS1
996,PTGS2
997,PTGS1
998,ADRA1A
999,ADRA1B
1000,ADRA1D
1001,ADRB1
1002,ADRB2
1003,ADRA1A
1004,PTGS1
1005,PTGS2
1006,PTGS1
1007,PGD
1008,ADRA1A
1009,ADRA1B
1010,ADRA1D
1011,ADRA1A
1012,SIGMAR1
1013,DRD2
1014,DRD3
1015,DRD2
1016,OXGR1
1017,PTGS1
1018,OPRD1
1019,OPRK1
1020,OPRM1
1021,OPRD1
1022,CHRM2
1023,CHRNA2
1024,CHRM2
1025,PIK3CA
1026,PIK3CG
1027,PIK3CA
1028,SLC6A3
1029,OPRM1
1030,ADRA1A
1031,ADRA1B
1032,ADRA2A
1033,CYP3A4
1034,HTR1A
1035,HTR2A
1036,HTR2C
1037,SLC6A2
1038,SLC6A3
1039,SLC6A4
1040,ADRA1A
1041,ADRA1A
1042,ADRA1B
1043,ADRA1D
1044,ADRA2A
1045,ADRA2B
1046,ADRA2C
1047,HTR1B
1048,HTR1D
1049,HTR2C
1050,ADRA1A
1051,CHRNA4
1052,CHRNB2
1053,CHRNA4
1054,ESR1
1055,PGR
1056,ESR1
1057,CA12
1058,CA14
1059,CA2
1060,CA4
1061,CA6
1062,CA9
1063,CA12
1064,DNMT1
1065,SCN5A
1066,DNMT1
1067,HRH1
1068,HRH3
1069,HRH1
1070,GPR35
1071,PDE1A
1072,PDE4D
1073,PDE5A
1074,PDE9A
1075,GPR35
1076,GABRA1
1077,LYN
1078,SRC
1079,LYN
1080,HCAR2
1081,HCAR3
1082,HCAR2
1083,GCK
1084,CYP3A4
1085,CYP3A5
1086,CYP3A7
1087,CYP3A4
1088,GABRA1
1089,ADRB1
1090,ADRB2
1091,ADRB1
1092,ADRB1
1093,CA1
1094,CA12
1095,CA14
1096,CA2
1097,CA4
1098,CA6
1099,CA9
1100,CA1
1101,SIGMAR1
1102,CYP3A4
1103,PDE10A
1104,PDE2A
1105,PDE3A
1106,PDE4A
1107,CYP3A4
1108,HSD11B1
1109,NR1H4
1110,HSD11B1
1111,DPP4
1112,ADRA1A
1113,TOP2A
1114,PDE10A
1115,CXCR1
1116,CXCR2
1117,CXCR1
1118,ADRA1A
1119,ADRA2A
1120,DRD1
1121,DRD2
1122,DRD5
1123,HRH1
1124,HTR2A
1125,ADRA1A
1126,DGAT1
1127,CYP3A4
1128,DRD2
1129,DRD3
1130,DRD4
1131,HTR2A
1132,DRD2
1133,CYSLTR1
