,feature_name
307,sensitivity_BRD-A32988684-003-08-7::2.5::HTS
308,sensitivity_BRD-A33084557-001-06-6::2.5::HTS
309,sensitivity_BRD-A33168282-003-18-0::2.5::HTS
310,sensitivity_BRD-A33447119-001-10-8::2.5::HTS
311,sensitivity_BRD-A33514596-003-01-2::2.5::HTS
312,sensitivity_BRD-A33692381-001-01-9::2.5::HTS
313,sensitivity_BRD-A33697453-008-02-4::2.5::HTS
314,sensitivity_BRD-A33711280-003-03-1::2.5::HTS
315,sensitivity_BRD-A34006693-001-15-4::2.5::HTS
316,sensitivity_BRD-A34205397-001-04-5::2.5::HTS
317,sensitivity_BRD-A34255068-001-34-5::2.5::HTS
318,sensitivity_BRD-A34358106-003-01-6::2.5::HTS
319,sensitivity_BRD-A34716233-004-03-5::2.5::HTS
320,sensitivity_BRD-A34751532-001-06-9::2.5::HTS
321,sensitivity_BRD-A35379661-001-04-6::2.5::HTS
322,sensitivity_BRD-A35588707-001-05-5::2.5::HTS
323,sensitivity_BRD-A35623999-001-05-7::2.5::HTS
324,sensitivity_BRD-A35868371-005-01-6::2.5::HTS
325,sensitivity_BRD-A35912562-001-02-8::2.5::HTS
326,sensitivity_BRD-A35989968-001-04-2::2.5::HTS
327,sensitivity_BRD-A36010170-001-04-0::2.5::HTS
328,sensitivity_BRD-A36057565-001-01-0::2.5::HTS
329,sensitivity_BRD-A36074203-003-07-6::2.5::HTS
330,sensitivity_BRD-A36217750-001-16-3::2.5::HTS
331,sensitivity_BRD-A36267905-003-18-4::2.5::HTS
332,sensitivity_BRD-A36318220-001-08-8::2.5::HTS
333,sensitivity_BRD-A36331462-001-02-1::2.5::HTS
334,sensitivity_BRD-A36456202-001-01-3::2.5::HTS
335,sensitivity_BRD-A37288617-003-02-2::2.5::HTS
336,sensitivity_BRD-A37347161-003-02-6::2.5::HTS
337,sensitivity_BRD-A37390343-003-03-5::2.5::HTS
338,sensitivity_BRD-A37441042-003-04-8::2.5::HTS
339,sensitivity_BRD-A37492983-001-10-3::2.5::HTS
340,sensitivity_BRD-A37704979-001-10-7::2.5::HTS
341,sensitivity_BRD-A38076815-003-10-3::2.5::HTS
342,sensitivity_BRD-A38218502-001-01-2::2.5::HTS
343,sensitivity_BRD-A38350138-001-04-9::2.5::HTS
344,sensitivity_BRD-A38592941-001-02-7::2.5::HTS
345,sensitivity_BRD-A38747044-001-02-3::2.5::HTS
346,sensitivity_BRD-A39052811-048-11-0::2.5::HTS
347,sensitivity_BRD-A39189014-003-22-7::2.5::HTS
348,sensitivity_BRD-A39230911-001-10-2::2.5::HTS
349,sensitivity_BRD-A39255369-001-03-1::2.5::HTS
350,sensitivity_BRD-A39390670-236-10-7::2.5::HTS
351,sensitivity_BRD-A39791822-001-05-1::2.5::HTS
352,sensitivity_BRD-A39935389-001-05-9::2.5::HTS
353,sensitivity_BRD-A40084411-003-07-7::2.5::HTS
354,sensitivity_BRD-A40413915-003-01-2::2.5::HTS
355,sensitivity_BRD-A40639672-234-18-0::2.5::HTS
356,sensitivity_BRD-A40777960-001-04-2::2.5::HTS
357,sensitivity_BRD-A40787240-066-04-6::2.5::HTS
358,sensitivity_BRD-A40940854-001-01-1::2.5::HTS
359,sensitivity_BRD-A41250306-001-11-7::2.5::HTS
360,sensitivity_BRD-A41304429-001-14-8::2.5::HTS
361,sensitivity_BRD-A41385909-001-01-3::2.5::HTS
362,sensitivity_BRD-A41450521-075-10-8::2.5::HTS
363,sensitivity_BRD-A41451487-001-11-2::2.5::HTS
364,sensitivity_BRD-A41692738-001-07-6::2.5::HTS
365,sensitivity_BRD-A41714661-001-02-0::2.5::HTS
366,sensitivity_BRD-A41774846-001-01-4::2.5::HTS
367,sensitivity_BRD-A41995253-001-04-5::2.5::HTS
368,sensitivity_BRD-A42167015-003-10-2::2.5::HTS
369,sensitivity_BRD-A42270467-001-04-4::2.5::HTS
370,sensitivity_BRD-A42553870-001-14-3::2.5::HTS
371,sensitivity_BRD-A42571354-300-12-0::2.5::HTS
372,sensitivity_BRD-A42628519-001-12-4::2.5::HTS
373,sensitivity_BRD-A42699921-001-02-8::2.5::HTS
374,sensitivity_BRD-A42699921-001-03-6::2.6::HTS
375,sensitivity_BRD-A42746051-001-02-9::2.5::HTS
376,sensitivity_BRD-A42759514-001-20-5::2.5::HTS
377,sensitivity_BRD-A43082461-001-06-3::2.5::HTS
378,sensitivity_BRD-A43082555-001-01-1::2.5::HTS
379,sensitivity_BRD-A43082555-001-02-9::2.5::HTS
380,sensitivity_BRD-A43435802-001-02-0::2.5::HTS
381,sensitivity_BRD-A43598550-001-09-4::2.5::HTS
382,sensitivity_BRD-A43671941-003-11-9::2.5::HTS
383,sensitivity_BRD-A43809092-003-02-1::2.5::HTS
384,sensitivity_BRD-A43882281-001-15-5::2.5::HTS
385,sensitivity_BRD-A43885598-001-08-1::2.5::HTS
386,sensitivity_BRD-A43930669-003-02-8::2.5::HTS
387,sensitivity_BRD-A43999749-004-04-1::2.5::HTS
388,sensitivity_BRD-A44008656-036-25-8::2.5::HTS
389,sensitivity_BRD-A44090213-001-25-6::2.5::HTS
390,sensitivity_BRD-A44133049-003-07-8::2.5::HTS
391,sensitivity_BRD-A44448661-001-04-8::2.5::HTS
392,sensitivity_BRD-A44500574-001-01-8::2.5::HTS
393,sensitivity_BRD-A44696962-001-01-4::2.5::HTS
394,sensitivity_BRD-A44863528-001-13-2::2.5::HTS
395,sensitivity_BRD-A44936478-001-01-1::2.5::HTS
396,sensitivity_BRD-A45044890-236-02-3::2.5::HTS
397,sensitivity_BRD-A45107007-001-03-4::2.5::HTS
398,sensitivity_BRD-A45153512-001-01-0::2.5::HTS
