X1,genes,pvalue,statistic,padj
1980,expression_MGAM,1.55126569044673e-16,0.131216905032909,3.07305733277498e-13
1981,expression_RPL34,1.53399898394909e-16,0.131236700153412,3.0403859861871e-13
1982,expression_CASP7,1.50423730770015e-16,0.131271341614292,2.98290258116939e-13
1983,expression_RAB6B,1.50003240624718e-16,0.131276290394418,2.97606429399441e-13
1984,expression_BAG3,1.47918121568156e-16,0.131301034295046,2.93617471312789e-13
1985,expression_DDRGK1,1.42629693449522e-16,0.13136536843668,2.83262571190751e-13
1986,expression_QSOX1,1.42230705353588e-16,0.131370317216806,2.82612411537579e-13
1987,expression_MOCOS,1.36759140243016e-16,0.131439600138566,2.71877170803116e-13
1988,expression_NKAP,1.33351916016825e-16,0.131484139159697,2.65236960957466e-13
1989,expression_RPL36,1.26786764673575e-16,0.13157321720196,2.52305661700415e-13
1990,expression_XDH,1.22932804864906e-16,0.131627653783342,2.44759214486028e-13
1991,expression_TNFRSF21,1.2224460931594e-16,0.131637551343594,2.43511261757352e-13
1992,expression_CD2BP2,1.21901938327863e-16,0.131642500123719,2.42950563087431e-13
1993,expression_KLHL21,1.20879601429815e-16,0.131657346464097,2.4103392525105e-13
1994,expression_ZNF205,1.17202889840469e-16,0.131711783045479,2.33819765231736e-13
1995,expression_ST3GAL5,1.16874166587657e-16,0.131716731825605,2.33280836508964e-13
1996,expression_ILK,1.14598436400691e-16,0.131751373286485,2.2885307749218e-13
1997,expression_USP2,1.10798466716536e-16,0.131810758647993,2.2137533649964e-13
1998,expression_PLAC8,1.08945376682272e-16,0.131840451328747,2.17781807987862e-13
1999,expression_DNMT3A,1.05627123421805e-16,0.13189488791013,2.1125424684361e-13
2000,expression_RHPN1,1.01547781237424e-16,0.13196417083189,2.03197110256085e-13
2001,expression_PLSCR3,9.90078466351366e-17,0.132008709853021,1.98213708963543e-13
2002,expression_DOCK3,9.81752122224885e-17,0.132023556193398,1.96644950081644e-13
2003,expression_ZNF404,9.49132094639903e-17,0.132082941554907,1.90206071765837e-13
2004,expression_BHLHB9,9.46462538075808e-17,0.132087890335032,1.897657388842e-13
2005,expression_ABCA13,9.02197253599829e-17,0.132172019597169,1.80980769072126e-13
2006,expression_SLC22A31,8.47933311926058e-17,0.132280892759935,1.70265009034749e-13
2007,expression_TTC38,8.4793331192604e-17,0.132280892759935,1.70265009034749e-13
2008,expression_CDC37L1,8.45544820854951e-17,0.13228584154006,1.6986995450976e-13
2009,expression_ARFGEF1,8.29010260055963e-17,0.13232048300094,1.66713963297244e-13
